,Time,RAM
0,4.995978355407715,8.269506454467773
1,0.9225893020629883,8.315860748291016
2,0.6691892147064209,8.357912063598633
3,0.6194357872009277,8.357839584350586
4,0.5787386894226074,8.35777473449707
5,0.6111264228820801,8.270757675170898
6,0.5430738925933838,8.38520622253418
7,0.532062292098999,8.315694808959961
8,0.5120525360107422,8.423328399658203
9,0.5092999935150146,8.270820617675781
10,0.49834156036376953,8.385112762451172
11,0.4769260883331299,8.225513458251953
12,0.46628308296203613,8.357858657836914
13,0.465850830078125,8.42352294921875
14,0.48762965202331543,8.225561141967773
